-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2021 through 12/31/2021 
Location: Latitude  29.7848   Longitude 40.0998 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 685.2 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UV_INDEX,ALLSKY_KT,T2M,QV2M,PS,WS10M,WD10M
2021,1,3,15,274.66,0.75,0.55,18.8,7.63,93.85,5.47,86.64
2021,1,3,16,117.19,0.12,0.45,17.27,7.63,93.88,5.38,75.2
2021,1,3,17,10.09,0.0,0.34,14.48,7.45,93.91,5.64,66.92
2021,1,3,18,0.0,0.0,-999.0,13.08,7.14,93.96,6.75,66.1
2021,1,3,19,0.0,0.0,-999.0,11.86,6.96,94.01,6.83,67.63
2021,1,3,20,0.0,0.0,-999.0,10.72,6.77,94.04,6.38,69.57
2021,1,3,21,0.0,0.0,-999.0,9.82,6.71,94.05,5.81,72.32
2021,1,3,22,0.0,0.0,-999.0,9.09,6.65,94.04,5.22,74.63
2021,1,3,23,0.0,0.0,-999.0,8.44,6.65,94.02,4.73,76.45
2021,1,4,0,0.0,0.0,-999.0,7.8,6.71,94.01,4.18,77.13
2021,1,4,1,0.0,0.0,-999.0,7.21,6.71,94.01,3.66,76.56
2021,1,4,2,0.0,0.0,-999.0,7.01,6.71,94.01,3.51,76.21
2021,1,4,3,0.0,0.0,-999.0,7.14,6.71,94.01,3.73,72.82
2021,1,4,4,0.0,0.0,-999.0,7.28,6.65,94.02,3.87,72.52
2021,1,4,5,0.0,0.0,-999.0,7.3,6.59,94.07,3.43,72.1
2021,1,4,6,0.0,0.0,-999.0,7.14,6.47,94.13,3.15,65.85
2021,1,4,7,25.72,0.02,0.37,7.19,6.41,94.15,3.33,68.07
2021,1,4,8,173.95,0.25,0.53,7.94,6.53,94.19,3.52,74.67
2021,1,4,9,316.7,1.1,0.57,9.73,6.84,94.24,3.68,83.06
2021,1,4,10,318.03,1.67,0.44,12.06,6.9,94.24,4.29,88.75
2021,1,4,11,491.47,3.08,0.59,13.67,6.96,94.17,4.33,87.73
2021,1,4,12,497.42,3.05,0.58,14.86,7.08,94.09,4.26,84.22
2021,1,4,13,520.8,2.9,0.64,15.72,7.14,94.01,4.42,82.27
2021,1,4,14,411.66,1.85,0.59,15.97,7.14,93.96,4.7,84.37
2021,1,4,15,297.2,0.83,0.59,15.66,7.14,93.96,4.62,87.58
2021,1,4,16,124.96,0.15,0.47,14.9,7.14,94.02,4.01,90.45
2021,1,4,17,11.11,0.0,0.34,13.3,7.2,94.07,2.91,91.08
2021,1,4,18,0.0,0.0,-999.0,12.61,7.08,94.1,3.39,90.53
2021,1,4,19,0.0,0.0,-999.0,12.16,7.02,94.16,3.55,90.38
2021,1,4,20,0.0,0.0,-999.0,11.86,6.96,94.21,3.42,93.4
2021,1,4,21,0.0,0.0,-999.0,11.55,6.84,94.2,3.77,96.06
2021,1,4,22,0.0,0.0,-999.0,11.03,6.77,94.18,3.78,98.08
2021,1,4,23,0.0,0.0,-999.0,10.65,6.71,94.16,3.85,100.53
2021,1,5,0,0.0,0.0,-999.0,10.35,6.65,94.11,3.8,102.69
2021,1,5,1,0.0,0.0,-999.0,9.7,6.59,94.08,3.3,104.7
2021,1,5,2,0.0,0.0,-999.0,9.7,6.53,94.09,3.14,104.87
2021,1,5,3,0.0,0.0,-999.0,9.89,6.47,94.09,3.43,103.02
2021,1,5,4,0.0,0.0,-999.0,9.82,6.41,94.11,3.41,102.57
2021,1,5,5,0.0,0.0,-999.0,9.71,6.41,94.16,3.35,102.8
2021,1,5,6,0.0,0.0,-999.0,9.58,6.35,94.21,3.4,103.56
2021,1,5,7,25.84,0.02,0.37,9.55,6.23,94.27,3.88,105.55
2021,1,5,8,137.4,0.25,0.42,10.31,6.16,94.32,4.32,110.3
2021,1,5,9,292.19,1.17,0.52,12.4,6.41,94.34,4.71,116.61
2021,1,5,10,435.89,2.42,0.6,13.98,6.59,94.29,5.27,119.07
2021,1,5,11,559.22,3.75,0.67,14.67,6.59,94.2,5.29,116.87
2021,1,5,12,560.16,3.83,0.65,15.08,6.59,94.12,4.85,113.14
2021,1,5,13,471.32,3.2,0.58,16.12,6.65,94.06,4.54,107.41
2021,1,5,14,464.55,2.23,0.67,16.51,6.59,94.04,4.49,105.34
2021,1,5,15,307.07,0.98,0.6,16.21,6.53,94.06,4.24,102.88
2021,1,5,16,130.19,0.17,0.48,14.88,6.59,94.1,3.38,96.5
2021,1,5,17,11.95,0.0,0.35,11.45,6.53,94.15,3.05,85.88
2021,1,5,18,0.0,0.0,-999.0,10.54,6.47,94.21,3.43,82.28
2021,1,5,19,0.0,0.0,-999.0,10.16,6.35,94.24,3.74,80.87
2021,1,5,20,0.0,0.0,-999.0,9.59,6.23,94.25,3.94,80.99
2021,1,5,21,0.0,0.0,-999.0,8.9,6.04,94.25,3.96,83.42
2021,1,5,22,0.0,0.0,-999.0,8.26,5.86,94.26,3.8,85.64
2021,1,5,23,0.0,0.0,-999.0,7.38,5.62,94.27,3.45,87.01
2021,1,6,0,0.0,0.0,-999.0,6.97,5.37,94.28,3.28,89.86
2021,1,6,1,0.0,0.0,-999.0,6.56,5.13,94.3,3.09,95.22
2021,1,6,2,0.0,0.0,-999.0,5.79,4.94,94.3,2.96,99.89
2021,1,6,3,0.0,0.0,-999.0,5.31,4.82,94.29,2.88,101.74
2021,1,6,4,0.0,0.0,-999.0,4.94,4.7,94.3,2.83,101.31
2021,1,6,5,0.0,0.0,-999.0,4.64,4.52,94.34,2.84,99.98
2021,1,6,6,0.0,0.0,-999.0,4.33,4.39,94.4,2.82,96.36
2021,1,6,7,26.52,0.02,0.38,4.54,4.33,94.46,2.73,93.28
2021,1,6,8,183.35,0.27,0.56,7.1,4.21,94.52,3.76,92.62
2021,1,6,9,360.88,1.2,0.65,9.3,4.21,94.57,3.27,91.37
2021,1,6,10,477.07,2.38,0.66,13.08,4.76,94.55,4.45,94.94
2021,1,6,11,617.52,3.7,0.74,15.34,5.37,94.47,4.63,90.29
2021,1,6,12,640.11,3.95,0.74,16.4,5.49,94.36,4.47,86.89
2021,1,6,13,605.0,3.45,0.74,16.92,5.43,94.3,4.34,82.56
2021,1,6,14,498.04,2.27,0.71,17.03,5.25,94.29,4.08,76.84
2021,1,6,15,338.13,1.0,0.66,16.63,5.0,94.33,4.0,71.78
2021,1,6,16,150.34,0.17,0.55,14.87,5.19,94.36,3.22,69.23
2021,1,6,17,13.39,0.0,0.38,11.39,5.0,94.39,3.19,70.86
2021,1,6,18,0.0,0.0,-999.0,10.0,4.58,94.43,3.5,75.41
2021,1,6,19,0.0,0.0,-999.0,9.02,4.33,94.45,3.65,81.75
2021,1,6,20,0.0,0.0,-999.0,8.03,4.09,94.47,3.68,87.56
2021,1,6,21,0.0,0.0,-999.0,7.16,3.97,94.47,3.58,91.75
2021,1,6,22,0.0,0.0,-999.0,6.48,3.85,94.46,3.45,94.02
2021,1,6,23,0.0,0.0,-999.0,6.16,3.85,94.45,3.3,93.93
2021,1,7,0,0.0,0.0,-999.0,6.16,3.78,94.44,3.1,93.32
2021,1,7,1,0.0,0.0,-999.0,5.73,3.78,94.44,2.9,93.71
2021,1,7,2,0.0,0.0,-999.0,4.94,3.66,94.43,2.83,93.49
2021,1,7,3,0.0,0.0,-999.0,4.26,3.6,94.38,2.78,92.73
2021,1,7,4,0.0,0.0,-999.0,3.81,3.54,94.35,2.83,94.44
2021,1,7,5,0.0,0.0,-999.0,3.87,3.48,94.34,2.87,98.31
2021,1,7,6,0.0,0.0,-999.0,4.43,3.54,94.36,2.7,101.54
2021,1,7,7,28.54,0.02,0.41,4.73,3.6,94.41,2.38,104.04
2021,1,7,8,158.03,0.25,0.48,6.19,3.54,94.47,2.82,104.11
2021,1,7,9,326.34,1.2,0.59,7.83,3.48,94.51,2.44,90.92
2021,1,7,10,441.48,2.42,0.61,11.23,3.36,94.5,3.32,96.21
2021,1,7,11,527.81,3.55,0.63,13.37,3.3,94.42,3.65,93.19
2021,1,7,12,557.62,3.9,0.64,14.48,3.3,94.32,3.71,84.93
2021,1,7,13,515.91,3.45,0.62,14.93,3.36,94.25,3.94,81.79
2021,1,7,14,385.86,2.08,0.55,14.37,3.36,94.23,4.25,81.01
2021,1,7,15,256.31,0.9,0.5,13.58,3.36,94.25,4.51,83.44
2021,1,7,16,119.72,0.15,0.43,12.35,3.66,94.25,3.88,85.15
2021,1,7,17,13.49,0.0,0.36,9.81,3.85,94.27,3.17,83.92
2021,1,7,18,0.0,0.0,-999.0,8.25,3.66,94.3,3.34,80.3
2021,1,7,19,0.0,0.0,-999.0,6.97,3.48,94.35,3.43,74.7
2021,1,7,20,0.0,0.0,-999.0,6.1,3.36,94.36,3.44,72.72
2021,1,7,21,0.0,0.0,-999.0,5.38,3.23,94.36,3.39,74.49
2021,1,7,22,0.0,0.0,-999.0,4.73,3.11,94.34,3.27,77.16
2021,1,7,23,0.0,0.0,-999.0,4.17,3.05,94.33,3.18,82.37
2021,1,8,0,0.0,0.0,-999.0,3.68,2.99,94.33,3.1,91.01
2021,1,8,1,0.0,0.0,-999.0,3.24,2.99,94.33,3.03,100.85
2021,1,8,2,0.0,0.0,-999.0,2.86,2.93,94.32,2.9,106.09
2021,1,8,3,0.0,0.0,-999.0,2.58,2.87,94.28,2.71,106.56
2021,1,8,4,0.0,0.0,-999.0,2.37,2.81,94.26,2.56,103.23
2021,1,8,5,0.0,0.0,-999.0,2.24,2.81,94.28,2.42,99.49
2021,1,8,6,0.0,0.0,-999.0,2.11,2.75,94.31,2.3,95.26
2021,1,8,7,28.44,0.02,0.41,2.29,2.81,94.35,2.18,92.26
2021,1,8,8,198.69,0.25,0.61,5.09,2.81,94.38,2.55,92.63
2021,1,8,9,389.73,1.15,0.7,7.27,2.81,94.4,2.4,89.81
2021,1,8,10,543.56,2.45,0.74,11.19,2.81,94.38,3.22,108.39
2021,1,8,11,636.76,3.48,0.76,13.57,2.87,94.29,3.88,111.87
2021,1,8,12,674.75,3.95,0.77,14.6,2.87,94.2,4.11,106.68
2021,1,8,13,633.88,3.45,0.77,15.11,2.87,94.14,4.17,100.57
2021,1,8,14,527.52,2.27,0.75,15.15,2.87,94.12,4.12,93.7
2021,1,8,15,364.41,0.98,0.7,14.62,2.81,94.13,4.11,86.84
2021,1,8,16,168.06,0.17,0.59,12.67,3.23,94.16,3.16,80.16
2021,1,8,17,15.52,0.0,0.39,8.54,3.23,94.19,3.28,73.12
2021,1,8,18,0.0,0.0,-999.0,7.13,2.87,94.22,3.63,72.19
2021,1,8,19,0.0,0.0,-999.0,6.23,2.69,94.24,3.7,73.71
2021,1,8,20,0.0,0.0,-999.0,5.42,2.56,94.25,3.68,76.73
2021,1,8,21,0.0,0.0,-999.0,4.74,2.5,94.25,3.61,80.66
2021,1,8,22,0.0,0.0,-999.0,4.3,2.44,94.24,3.43,85.03
2021,1,8,23,0.0,0.0,-999.0,4.18,2.5,94.22,3.21,90.42
2021,1,9,0,0.0,0.0,-999.0,3.86,2.5,94.2,3.15,97.69
2021,1,9,1,0.0,0.0,-999.0,3.52,2.5,94.2,3.16,104.17
2021,1,9,2,0.0,0.0,-999.0,3.05,2.44,94.18,3.08,107.1
2021,1,9,3,0.0,0.0,-999.0,2.71,2.44,94.16,2.94,106.85
2021,1,9,4,0.0,0.0,-999.0,2.8,2.5,94.16,2.75,104.67
2021,1,9,5,0.0,0.0,-999.0,3.12,2.5,94.19,2.58,102.06
2021,1,9,6,0.0,0.0,-999.0,3.2,2.56,94.22,2.48,99.43
2021,1,9,7,26.01,0.02,0.38,3.56,2.56,94.25,2.55,97.58
2021,1,9,8,168.57,0.23,0.52,5.11,2.32,94.29,3.52,95.34
2021,1,9,9,339.56,1.1,0.61,6.77,2.38,94.33,3.33,89.73
2021,1,9,10,478.45,2.35,0.66,9.69,2.69,94.31,3.8,94.83
2021,1,9,11,553.48,3.38,0.66,12.75,3.72,94.22,4.61,107.45
2021,1,9,12,553.25,3.7,0.63,14.83,4.76,94.12,4.41,112.71
2021,1,9,13,473.05,2.95,0.57,15.8,5.25,94.06,4.14,111.14
2021,1,9,14,348.98,1.8,0.49,16.0,5.43,94.03,4.06,105.29
2021,1,9,15,227.52,0.77,0.44,15.63,5.55,94.03,4.17,97.22
2021,1,9,16,93.73,0.12,0.33,14.28,5.8,94.07,3.53,87.08
2021,1,9,17,14.06,0.0,0.34,11.63,5.62,94.15,3.53,77.72
2021,1,9,18,0.0,0.0,-999.0,10.67,5.37,94.21,4.31,75.08
2021,1,9,19,0.0,0.0,-999.0,9.67,5.07,94.25,4.66,75.15
2021,1,9,20,0.0,0.0,-999.0,8.75,4.64,94.26,4.81,76.87
2021,1,9,21,0.0,0.0,-999.0,7.83,4.21,94.28,4.74,80.13
2021,1,9,22,0.0,0.0,-999.0,6.86,3.78,94.26,4.38,84.57
2021,1,9,23,0.0,0.0,-999.0,6.0,3.48,94.22,3.91,89.89
2021,1,10,0,0.0,0.0,-999.0,5.27,3.3,94.21,3.4,96.33
2021,1,10,1,0.0,0.0,-999.0,4.7,3.3,94.21,3.1,102.5
2021,1,10,2,0.0,0.0,-999.0,4.23,3.3,94.21,2.89,107.11
2021,1,10,3,0.0,0.0,-999.0,3.89,3.3,94.19,2.75,109.93
2021,1,10,4,0.0,0.0,-999.0,3.62,3.3,94.18,2.67,110.56
2021,1,10,5,0.0,0.0,-999.0,3.41,3.36,94.2,2.66,110.46
2021,1,10,6,0.0,0.0,-999.0,3.3,3.42,94.24,2.68,111.71
2021,1,10,7,22.09,0.02,0.32,3.79,3.54,94.3,2.46,108.49
2021,1,10,8,159.21,0.2,0.48,6.18,3.6,94.35,3.4,102.47
2021,1,10,9,299.31,0.92,0.54,8.27,3.72,94.41,3.14,92.86
2021,1,10,10,398.52,1.85,0.55,11.62,4.15,94.41,3.53,93.3
2021,1,10,11,511.09,3.02,0.61,14.88,5.13,94.35,3.69,92.18
2021,1,10,12,536.45,3.15,0.62,16.33,5.49,94.26,3.41,81.7
2021,1,10,13,539.16,2.77,0.65,17.03,5.55,94.19,3.25,71.65
2021,1,10,14,438.09,1.85,0.62,17.18,5.49,94.17,3.32,64.16
2021,1,10,15,266.43,0.77,0.51,16.76,5.43,94.19,3.49,61.08
2021,1,10,16,140.88,0.15,0.48,14.98,5.74,94.22,2.69,65.14
2021,1,10,17,13.86,0.0,0.32,11.26,5.37,94.27,3.03,74.89
2021,1,10,18,0.0,0.0,-999.0,9.9,5.13,94.33,3.37,82.13
2021,1,10,19,0.0,0.0,-999.0,9.04,4.88,94.38,3.45,86.88
2021,1,10,20,0.0,0.0,-999.0,8.17,4.7,94.41,3.39,91.85
2021,1,10,21,0.0,0.0,-999.0,7.36,4.46,94.42,3.3,98.84
2021,1,10,22,0.0,0.0,-999.0,6.62,4.33,94.41,3.22,106.77
2021,1,10,23,0.0,0.0,-999.0,5.94,4.21,94.38,3.11,113.09
2021,1,11,0,0.0,0.0,-999.0,5.37,4.15,94.39,2.89,119.27
2021,1,11,1,0.0,0.0,-999.0,5.02,4.03,94.43,2.61,127.69
2021,1,11,2,0.0,0.0,-999.0,4.86,4.03,94.44,2.35,139.32
2021,1,11,3,0.0,0.0,-999.0,4.71,4.03,94.43,2.19,153.98
2021,1,11,4,0.0,0.0,-999.0,4.49,4.09,94.41,2.14,169.26
2021,1,11,5,0.0,0.0,-999.0,4.33,4.15,94.43,2.07,182.59
2021,1,11,6,0.0,0.0,-999.0,4.31,4.21,94.48,1.86,193.86
2021,1,11,7,27.36,0.02,0.39,4.58,4.33,94.54,1.53,205.12
2021,1,11,8,194.91,0.27,0.59,6.77,4.52,94.6,1.49,213.86
2021,1,11,9,387.16,1.27,0.7,8.88,4.58,94.65,1.3,219.41
2021,1,11,10,545.02,2.67,0.74,12.76,4.46,94.68,0.23,218.05
2021,1,11,11,645.88,3.88,0.77,16.17,3.91,94.64,1.39,28.87
2021,1,11,12,677.66,4.27,0.77,17.19,3.72,94.57,1.67,21.15
2021,1,11,13,586.08,-999.0,0.7,17.83,3.6,94.51,1.88,18.21
2021,1,11,14,539.91,2.55,0.76,18.05,3.54,94.49,2.14,21.22
2021,1,11,15,378.68,1.15,0.71,17.73,3.54,94.49,2.33,27.94
2021,1,11,16,181.88,0.23,0.62,15.58,4.82,94.49,1.75,42.1
2021,1,11,17,19.08,0.02,0.41,12.75,4.03,94.53,2.18,60.31
2021,1,11,18,0.0,0.0,-999.0,11.4,3.85,94.57,2.38,71.8
2021,1,11,19,0.0,0.0,-999.0,10.41,3.78,94.62,2.45,78.58
2021,1,11,20,0.0,0.0,-999.0,9.56,3.72,94.64,2.42,83.15
2021,1,11,21,0.0,0.0,-999.0,8.81,3.66,94.66,2.35,86.76
2021,1,11,22,0.0,0.0,-999.0,8.19,3.6,94.65,2.22,90.4
2021,1,11,23,0.0,0.0,-999.0,7.76,3.48,94.62,2.01,95.8
2021,1,12,0,0.0,0.0,-999.0,7.58,3.48,94.61,1.71,107.77
2021,1,12,1,0.0,0.0,-999.0,7.48,3.42,94.61,1.4,129.56
2021,1,12,2,0.0,0.0,-999.0,7.26,3.42,94.6,1.17,161.32
2021,1,12,3,0.0,0.0,-999.0,6.78,3.42,94.58,1.21,196.1
2021,1,12,4,0.0,0.0,-999.0,6.06,3.42,94.56,1.48,217.05
2021,1,12,5,0.0,0.0,-999.0,5.33,3.42,94.57,1.77,224.46
2021,1,12,6,0.0,0.0,-999.0,4.69,3.42,94.6,1.97,228.54
2021,1,12,7,34.71,0.02,0.5,4.51,3.42,94.63,2.04,235.46
2021,1,12,8,228.38,0.33,0.7,7.19,3.66,94.68,2.12,246.27
2021,1,12,9,430.07,1.42,0.77,9.65,3.6,94.72,2.07,258.22
2021,1,12,10,589.67,2.95,0.8,13.12,3.6,94.73,1.02,266.48
2021,1,12,11,690.7,4.25,0.81,16.62,3.23,94.65,0.15,344.48
2021,1,12,12,721.89,4.67,0.82,17.98,3.11,94.55,0.21,342.9
2021,1,12,13,682.49,4.12,0.81,18.55,3.11,94.47,0.2,6.58
2021,1,12,14,569.87,2.77,0.79,18.67,3.11,94.42,0.37,70.02
2021,1,12,15,399.49,1.27,0.74,18.27,3.17,94.38,0.81,90.0
2021,1,12,16,191.98,0.25,0.64,16.38,4.39,94.36,1.16,101.69
2021,1,12,17,21.85,0.02,0.45,13.39,3.66,94.37,1.84,111.67
2021,1,12,18,0.0,0.0,-999.0,11.69,3.48,94.43,2.17,118.77
2021,1,12,19,0.0,0.0,-999.0,10.31,3.48,94.45,2.45,125.52
2021,1,12,20,0.0,0.0,-999.0,9.12,3.42,94.46,2.65,132.01
2021,1,12,21,0.0,0.0,-999.0,8.11,3.3,94.44,2.8,139.19
2021,1,12,22,0.0,0.0,-999.0,7.17,3.23,94.41,2.96,147.74
2021,1,12,23,0.0,0.0,-999.0,6.23,3.17,94.35,3.17,155.71
2021,1,13,0,0.0,0.0,-999.0,5.34,3.11,94.29,3.43,162.93
2021,1,13,1,0.0,0.0,-999.0,4.62,3.05,94.27,3.6,170.89
2021,1,13,2,0.0,0.0,-999.0,3.97,2.99,94.25,3.63,179.51
2021,1,13,3,0.0,0.0,-999.0,3.37,2.93,94.22,3.64,189.14
2021,1,13,4,0.0,0.0,-999.0,2.83,2.87,94.2,3.7,196.56
2021,1,13,5,0.0,0.0,-999.0,2.33,2.81,94.2,3.73,198.21
2021,1,13,6,0.0,0.0,-999.0,2.02,2.75,94.23,3.69,199.82
2021,1,13,7,35.72,0.02,0.51,2.3,2.81,94.24,3.55,202.62
2021,1,13,8,229.48,0.35,0.7,5.69,2.81,94.25,4.6,202.87
2021,1,13,9,432.32,1.58,0.77,8.3,2.87,94.27,3.79,194.7
2021,1,13,10,595.55,3.2,0.8,11.33,3.05,94.23,3.3,180.27
2021,1,13,11,690.33,4.58,0.81,15.59,2.99,94.1,5.61,184.71
2021,1,13,12,688.14,4.88,0.78,17.2,2.99,93.95,6.12,186.3
2021,1,13,13,588.56,4.15,0.7,17.55,2.93,93.84,5.91,187.98
2021,1,13,14,445.5,2.65,0.62,17.86,2.87,93.77,5.8,189.39
2021,1,13,15,267.02,1.15,0.49,17.37,3.11,93.71,4.57,189.74
2021,1,13,16,118.82,0.23,0.39,14.51,3.85,93.69,3.38,187.31
2021,1,13,17,13.46,0.0,0.27,12.28,3.6,93.67,3.83,185.85
2021,1,13,18,0.0,0.0,-999.0,11.65,3.54,93.66,3.98,183.37
2021,1,13,19,0.0,0.0,-999.0,11.18,3.48,93.64,3.99,179.55
2021,1,13,20,0.0,0.0,-999.0,10.71,3.48,93.63,4.07,177.14
